7238	1
6638	2
8020	3
3871	4
995	5
1031	6
9318	7
6598	8
3255	9
5288	10
3780	11
5678	12
5700	13
7052	14
815	15
4251	16
3924	17
6174	18
9308	19
744	20
4278	21
5899	22
6089	23
2540	24
6217	25
1210	26
2956	27
4907	28
1899	29
7410	30
5274	31
6313	32
677	33
6862	34
1570	35
9281	36
2772	37
334	38
7196	39
2983	40
7959	41
7577	42
9214	43
1160	44
4167	45
9494	46
1376	47
232	48
7318	49
6385	50
7841	51
2466	52
2092	53
3353	54
9036	55
7279	56
1226	57
7936	58
3325	59
1841	60
6913	61
6548	62
2881	63
188	64
790	65
7826	66
7025	67
3237	68
715	69
3426	70
8184	71
234	72
1923	73
5911	74
1357	75
132	76
6968	77
1279	78
2686	79
2537	80
4689	81
3685	82
821	83
8008	84
9181	85
5020	86
3736	87
37	88
3285	89
9532	90
4702	91
3267	92
1949	93
1343	94
205	95
9604	96
5915	97
6444	98
7084	99
1650	100
804	101
3093	102
3462	103
72	104
1965	105
4699	106
329	107
8065	108
8233	109
1076	110
3493	111
1032	112
5614	113
1209	114
6345	115
4062	116
5055	117
6259	118
3710	119
3506	120
2489	121
9516	122
4557	123
6840	124
1805	125
8386	126
1733	127
2738	128
9045	129
8564	130
12	131
6749	132
5977	133
6815	134
3831	135
5708	136
6462	137
7228	138
4609	139
4129	140
583	141
1885	142
425	143
8259	144
1332	145
8342	146
3769	147
5922	148
113	149
4727	150
2367	151
7456	152
2690	153
3157	154
4433	155
419	156
908	157
953	158
3787	159
6210	160
584	161
7859	162
3502	163
3959	164
44	165
590	166
8955	167
4081	168
8015	169
4370	170
222	171
4982	172
2941	173
6287	174
5796	175
336	176
6383	177
1035	178
8828	179
4794	180
988	181
7254	182
7179	183
3746	184
3463	185
4565	186
5249	187
7827	188
7528	189
2694	190
3363	191
1953	192
987	193
1219	194
8036	195
1204	196
8107	197
245	198
7126	199
5628	200
3182	201
8820	202
9625	203
7034	204
5356	205
1027	206
5322	207
180	208
9354	209
2439	210
6051	211
6871	212
3058	213
3899	214
9005	215
6255	216
5534	217
2662	218
5228	219
3534	220
3181	221
889	222
241	223
1422	224
3137	225
7695	226
