12	1836	3	6.41
146	422	4	21.64
98	1097	11	41.2
104	603	4	7.19
101	1596	3	5.38
269	119	3	6.23
5443	147	3	33.31
4	2328	5	54.31
1374	101	3	4.66
564	12	7	10.07
170	131	6	13.65
2812	14	3	8.67
113	630	3	10.7
135	221	3	6.97
159	129	9	24.38
135	124	10	16.88
405	104	8	18.41
101	3710	4	20.39
1077	106	3	8.55
1508	14	3	4.86
947	103	3	6.14
111	3121	5	42.95
660	14	6	8.12
1297	489	6	78.97
516	471	13	168.21
144	227	7	31.43
573	105	4	7.06
1134	102	4	10.94
121	474	7	37.11
216	125	3	5.5
817	101	5	7.05
723	105	11	47.3
126	183	7	18.96
101	202	44	87.28
3980	102	3	16.03
3678	287	3	39.63
111	398	6	23.19
116	11	4	24.39
115	2948	3	21.75
1236	102	13	77.19
317	102	17	46.54
12	744	24	120.76
664	101	5	5.52
1650	101	4	9.42
101	452	6	4.91
136	145	8	19.24
788	132	3	15.96
109	174	7	7.08
2531	12	3	8.2
1424	12	4	8.55
115	201	7	15.29
358	117	3	8.14
203	444	3	19.87
102	1724	4	14.59
1403	14	4	8.15
101	2812	3	8.83
217	313	3	17.69
112	184	11	27.05
844	14	4	4.24
213	139	8	35.68
117	2564	3	20.72
181	1747	4	38.76
451	14	8	9.67
102	4345	3	16.03
1776	105	4	16.17
190	7	21	58.21
409	110	3	7.19
897	105	20	131.63
1126	147	3	20.96
610	108	5	18.88
119	101	103	74.37
1234	101	5	11.49
101	5702	3	18.98
102	583	5	9.25
492	108	3	7.05
134	267	4	13.96
105	648	3	4.5
507	103	4	5.69
1027	109	4	17.89
210	120	8	24.8
1331	14	3	4.21
274	356	3	21.38
233	12	27	43.94
102	4802	3	18.21
4102	14	3	12.25
1990	14	3	6.63
890	12	4	5.06
120	521	6	30.6
4366	9	3	32.6
1321	12	3	4.49
378	106	4	5.53
114	406	3	8.16
101	2180	3	7.37
192	223	7	41.48
140	168	6	16.78
2159	2844	7	146.68
106	624	3	5.43
246	101	17	17.09
163	121	14	42.77
1603	102	4	13.93
371	103	5	6.15
171	152	3	6.29
205	111	5	8
225	231	9	64.65
1019	14	4	5.81
132	1328	9	82.58
4976	99	4	24.68
1009	12	4	6.19
228	133	7	26.94
766	103	3	4.96
3311	12	5	26.6
552	173	3	18.68
154	117	23	79.91
5696	12	3	19.16
496	106	7	20.53
645	550	3	30.93
628	102	4	6.4
218	101	36	70.13
16	305	4	17.81
151	442	3	15.77
103	993	3	6.37
101	3274	5	26.32
102	132	23	5.07
168	143	3	4.95
522	102	4	5.12
1170	3254	4	68.08
102	327	7	8.79
304	447	5	45.45
698	102	20	107.5
283	101	9	4.3
123	256	13	64.87
3312	1007	5	87.87
104	3060	3	14.32
1113	491	3	33.84
486	118	9	51.25
1056	14	4	6.14
168	163	3	6.83
959	109	3	11.1
463	103	5	8.28
5744	12	3	19.16
180	14	41	55.64
801	103	3	5.14
163	136	29	160.47
1118	12	5	10.69
198	12	28	33.76
576	107	5	17.8
1137	14	5	10.18
104	1486	3	9.17
161	105	11	3.91
1140	105	6	23.92
5239	102	4	30.22
963	101	5	8.71
171	238	3	11.54
1592	112	7	52.5
2774	102	6	36.42
260	116	3	5.5
236	176	6	32.34
110	546	10	54.59
143	229	3	8.54
2	17	28	134.31
1917	105	7	39.69
143	116	10	15.62
102	1202	8	35.09
140	142	5	8.81
3077	14	3	9.6
102	1246	4	11.8
458	107	3	6.66
124	120	45	159.18
312	14	86	539.81
373	812	7	82.44
98	2920	3	9.33
107	257	4	5.3
2151	12	3	7.52
4502	12	3	14.74
108	1066	3	11.82
565	165	3	18.18
3256	14	3	10.75
1648	139	3	22.54
2312	104	4	18.4
119	144	8	11.25
104	513	4	6.22
98	2	252	366.49
940	126	3	16.45
117	116	10	4.06
123	467	3	11.14
724	105	4	8.82
113	945	3	13.29
102	871	6	17.7
101	1326	3	4.35
105	245	18	43.96
1611	158	3	24.87
138	134	4	4.07
1440	14	3	4.52
111	1324	4	22.64
476	109	3	7.03
12	1987	7	30.61
456	180	4	26.84
106	2674	4	22.68
272	129	3	8.02
160	148	8	27.93
109	134	28	55.09
351	14	10	10.18
2524	283	3	34.78
101	354	18	38.59
226	106	9	11.96
12	761	17	67.06
1343	106	3	9.81
241	351	3	19.73
296	365	3	22.26
5406	442	3	45.74
488	101	13	29.21
982	108	7	39.1
12	2607	3	8.99
115	155	25	87.7
106	336	9	22
1240	314	7	86.49
125	263	7	28.31
849	369	4	42.58
515	105	5	9.96
748	101	9	21.5
377	104	10	25.7
1587	12	8	32.47
473	12	8	10.91
98	1810	4	10.16
133	302	3	9.43
1702	12	10	50.06
200	124	7	20.94
2509	14	3	7.88
101	1506	3	5.01
1026	627	3	34.84
116	275	5	14.35
104	650	4	7.75
116	131	13	18.21
6339	101	3	18.98
2371	4490	4	82.91
135	188	3	5.25
112	587	4	15.46
586	12	9	17.42
172	129	11	36.58
427	104	14	49.92
121	212	18	85.59
317	189	3	15.85
261	205	3	15.44
2676	101	4	14.56
634	143	9	70.92
3037	7	7	63.6
1632	594	3	37.33
2294	102	4	17.04
102	998	7	25.36
701	105	5	12.83
112	151	22	64.8
1104	102	12	64.12
2026	102	4	16.12
123	949	3	15.56
437	109	9	38.63
117	818	6	34.9
102	2279	6	32.05
663	12	12	33.56
282	134	4	14.4
104	951	5	15.71
1527	14	4	8.66
102	4299	3	16.03
1066	106	3	8.55
227	248	4	23.13
12	2062	4	11.71
146	315	3	11.94
141	428	5	28.61
419	12	13	25.93
1934	107	3	15.21
136	1187	3	19.65
190	528	3	19.88
101	1451	4	8.35
320	129	3	9.31
812	12	6	10.67
221	124	7	23.56
104	772	4	9.08
121	1331	3	17.24
