1026	149	10	40.08
121	1192	9	15.39
116	114	334	17.94
179	7	108	15.13
1244	108	13	18.53
630	141	6	6.78
185	755	4	9.73
101	1095	21	19.81
261	1695	3	13.63
1011	1649	4	33.01
630	254	3	7.3
347	202	5	7.28
1257	106	13	16.86
825	101	23	6.86
347	45	9	9.24
150	1876	3	7.78
603	813	3	14.63
226	834	3	7.62
102	4691	5	9.11
560	110	16	8.55
1457	45	4	9.04
119	2344	5	7.67
120	1915	7	14.27
3958	114	4	7.09
117	953	10	10.08
192	4742	3	20.91
273	400	6	18.53
104	395	32	9.76
198	653	4	8.69
136	424	11	12.02
359	1000	4	19.65
2535	234	3	16.35
101	2169	10	9.43
118	208	45	23.17
115	1161	9	10.01
115	7351	3	10.91
6507	105	3	7.44
276	12	71	7.91
106	7926	3	8.1
636	112	14	6.81
256	39	10	9.11
108	253	41	11.65
1212	253	3	11.18
102	360	41	13.85
102	428	33	7.25
547	181	5	9.83
5792	118	3	7.5
131	3068	3	6.77
109	6114	3	8.95
3277	102	7	12.76
409	2712	4	31.81
1615	150	3	6.86
2186	1514	9	117.54
5495	102	4	7.29
2598	142	3	7.48
7600	105	3	7.44
1238	12	18	10.48
1489	187	3	9.77
7	1981	8	9.07
194	767	5	15.59
130	3485	3	8
311	12	67	12.99
4786	3041	3	41.85
5866	102	4	7.29
121	2832	4	7.32
5	4947	4	27.14
173	306	8	12.52
12	664	32	14.57
667	378	5	22.25
2401	5705	3	39.59
344	534	3	8.39
105	6294	3	7.44
1100	819	5	37.7
172	907	5	14.38
109	2658	6	9.93
1141	107	11	8.09
105	8	336	51.58
3107	39	3	11.2
437	103	36	21.71
596	801	13	112.62
187	271	11	25.92
192	1284	3	9.6
877	603	3	15.09
377	994	3	12.79
135	600	7	7.06
5	225	11	6.73
3686	245	6	54.34
214	169	13	16.65
433	101	46	11.99
599	211	5	13.35
361	111	28	14.13
112	204	48	8.95
4838	119	3	7.84
459	182	5	9.3
285	108	36	11.22
150	594	6	10.34
330	2907	3	18.73
720	230	3	7.12
304	232	5	8.1
1058	711	3	17.64
9	282	19	14.04
1462	227	3	10.76
109	466	20	7.19
156	3759	3	13.61
3703	111	5	10.81
162	138	42	46.97
119	3475	4	9.01
1845	111	7	6.89
150	806	6	13.76
7202	111	3	9.45
5171	104	4	9.01
9	6230	3	14.96
114	2457	5	8.01
101	2062	11	10.37
1828	454	3	19.41
125	628	9	8.47
471	459	3	10.07
